|dates|Scott_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Scott_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Scott_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|11.0|0|0.0|0|0.0|0
0|2020-05-28|11.0|0|0.0|0|0.0|0
0|2020-05-29|11.0|0|0.0|0|0.0|0
0|2020-05-30|11.0|0|0.0|0|0.0|0
