|dates|Wheeler_Texas_UnitedStates.JHU_ConfirmedCases.data|Wheeler_Texas_UnitedStates.JHU_ConfirmedCases.missing|Wheeler_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Wheeler_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Wheeler_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Wheeler_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|15.0|0|0.0|0|0.0|0
0|2020-05-28|15.0|0|0.0|0|0.0|0
0|2020-05-29|15.0|0|0.0|0|0.0|0
0|2020-05-30|15.0|0|0.0|0|0.0|0
