|dates|Citrus_Florida_UnitedStates.JHU_ConfirmedCases.data|Citrus_Florida_UnitedStates.JHU_ConfirmedCases.missing|Citrus_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Citrus_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Citrus_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Citrus_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|112.0|0|12.0|0|0.0|0
0|2020-05-18|112.0|0|12.0|0|0.0|0
0|2020-05-19|114.0|0|12.0|0|0.0|0
0|2020-05-20|115.0|0|12.0|0|0.0|0
0|2020-05-21|115.0|0|12.0|0|0.0|0
0|2020-05-22|118.0|0|12.0|0|0.0|0
0|2020-05-23|118.0|0|12.0|0|0.0|0
