|dates|Schuylkill_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Schuylkill_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Schuylkill_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Schuylkill_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Schuylkill_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Schuylkill_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|525.0|0|15.0|0|0.0|0
0|2020-05-18|529.0|0|20.0|0|0.0|0
0|2020-05-19|534.0|0|21.0|0|0.0|0
0|2020-05-20|541.0|0|21.0|0|0.0|0
0|2020-05-21|548.0|0|25.0|0|0.0|0
0|2020-05-22|560.0|0|26.0|0|0.0|0
0|2020-05-23|560.0|0|26.0|0|0.0|0
