|dates|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|1405.0|0|66.0|0|0.0|0
0|2020-05-28|1405.0|0|66.0|0|0.0|0
0|2020-05-29|1405.0|0|66.0|0|0.0|0
0|2020-05-30|1405.0|0|66.0|0|0.0|0
