|dates|Oregon_Missouri_UnitedStates.JHU_ConfirmedCases.data|Oregon_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Oregon_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Oregon_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Oregon_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Oregon_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|2.0|0|0.0|0|0.0|0
0|2020-05-28|2.0|0|0.0|0|0.0|0
0|2020-05-29|2.0|0|0.0|0|0.0|0
0|2020-05-30|2.0|0|0.0|0|0.0|0
