|dates|Lamar_Texas_UnitedStates.JHU_ConfirmedCases.data|Lamar_Texas_UnitedStates.JHU_ConfirmedCases.missing|Lamar_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Lamar_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Lamar_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Lamar_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|134.0|0|9.0|0|0.0|0
0|2020-05-28|134.0|0|9.0|0|0.0|0
0|2020-05-29|134.0|0|9.0|0|0.0|0
0|2020-05-30|134.0|0|9.0|0|0.0|0
