|dates|OutofIL_Illinois_UnitedStates.JHU_ConfirmedCases.data|OutofIL_Illinois_UnitedStates.JHU_ConfirmedCases.missing|OutofIL_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|OutofIL_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|OutofIL_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|OutofIL_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|84.0|0|1.0|0|0.0|0
0|2020-05-18|87.0|0|1.0|0|0.0|0
0|2020-05-19|87.0|0|1.0|0|0.0|0
0|2020-05-20|89.0|0|1.0|0|0.0|0
0|2020-05-21|91.0|0|1.0|0|0.0|0
0|2020-05-22|112.0|0|1.0|0|0.0|0
0|2020-05-23|112.0|0|1.0|0|0.0|0
