|dates|Greene_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Greene_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Greene_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|48.0|0|2.0|0|0.0|0
0|2020-05-28|48.0|0|2.0|0|0.0|0
0|2020-05-29|48.0|0|2.0|0|0.0|0
0|2020-05-30|48.0|0|2.0|0|0.0|0
