|dates|Washington_Florida_UnitedStates.JHU_ConfirmedCases.data|Washington_Florida_UnitedStates.JHU_ConfirmedCases.missing|Washington_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|13.0|0|1.0|0|0.0|0
0|2020-05-18|13.0|0|1.0|0|0.0|0
0|2020-05-19|14.0|0|1.0|0|0.0|0
0|2020-05-20|14.0|0|1.0|0|0.0|0
0|2020-05-21|19.0|0|1.0|0|0.0|0
0|2020-05-22|24.0|0|1.0|0|0.0|0
0|2020-05-23|24.0|0|1.0|0|0.0|0
