|dates|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|22.0|0|3.0|0|0.0|0
0|2020-05-25|22.0|0|3.0|0|0.0|0
0|2020-05-26|22.0|0|3.0|0|0.0|0
