|dates|ElPaso_Texas_UnitedStates.JHU_ConfirmedCases.data|ElPaso_Texas_UnitedStates.JHU_ConfirmedCases.missing|ElPaso_Texas_UnitedStates.JHU_ConfirmedDeaths.data|ElPaso_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|ElPaso_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|ElPaso_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1726.0|0|46.0|0|0.0|0
0|2020-05-18|1772.0|0|47.0|0|0.0|0
0|2020-05-19|1852.0|0|52.0|0|0.0|0
0|2020-05-20|1930.0|0|54.0|0|0.0|0
0|2020-05-21|2046.0|0|57.0|0|0.0|0
0|2020-05-22|2046.0|0|57.0|0|0.0|0
0|2020-05-23|2046.0|0|57.0|0|0.0|0
