|dates|Adair_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Adair_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Adair_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Adair_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Adair_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Adair_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|82.0|0|3.0|0|0.0|0
0|2020-05-28|82.0|0|3.0|0|0.0|0
0|2020-05-29|82.0|0|3.0|0|0.0|0
0|2020-05-30|82.0|0|3.0|0|0.0|0
