|dates|Acadia_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Acadia_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Acadia_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Acadia_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Acadia_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Acadia_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|198.0|0|12.0|0|0.0|0
0|2020-05-18|257.0|0|12.0|0|0.0|0
0|2020-05-19|262.0|0|12.0|0|0.0|0
0|2020-05-20|262.0|0|12.0|0|0.0|0
0|2020-05-21|269.0|0|15.0|0|0.0|0
0|2020-05-22|289.0|0|15.0|0|0.0|0
0|2020-05-23|289.0|0|15.0|0|0.0|0
