|dates|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|195.0|0|14.0|0|0.0|0
0|2020-05-18|198.0|0|14.0|0|0.0|0
0|2020-05-19|198.0|0|14.0|0|0.0|0
0|2020-05-20|210.0|0|14.0|0|0.0|0
0|2020-05-21|210.0|0|14.0|0|0.0|0
0|2020-05-22|253.0|0|14.0|0|0.0|0
0|2020-05-23|253.0|0|14.0|0|0.0|0
