|dates|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|246.0|0|17.0|0|0.0|0
0|2020-05-18|247.0|0|17.0|0|0.0|0
0|2020-05-19|247.0|0|17.0|0|0.0|0
0|2020-05-20|255.0|0|20.0|0|0.0|0
0|2020-05-21|255.0|0|20.0|0|0.0|0
0|2020-05-22|259.0|0|21.0|0|0.0|0
0|2020-05-23|259.0|0|21.0|0|0.0|0
