|dates|GoldenValley_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|GoldenValley_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|GoldenValley_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|GoldenValley_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|GoldenValley_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|GoldenValley_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1266.0|0|25.0|0|0.0|0
0|2020-05-25|1266.0|0|25.0|0|0.0|0
0|2020-05-26|1266.0|0|25.0|0|0.0|0
