|dates|Madison_Illinois_UnitedStates.JHU_ConfirmedCases.data|Madison_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Madison_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|461.0|0|35.0|0|0.0|0
0|2020-05-15|464.0|0|38.0|0|0.0|0
0|2020-05-16|464.0|0|38.0|0|0.0|0
