|dates|Chickasaw_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Chickasaw_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Chickasaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Chickasaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Chickasaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Chickasaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|110.0|0|10.0|0|0.0|0
0|2020-05-15|114.0|0|11.0|0|0.0|0
0|2020-05-16|114.0|0|11.0|0|0.0|0
