|dates|Hunt_Texas_UnitedStates.JHU_ConfirmedCases.data|Hunt_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hunt_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hunt_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hunt_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hunt_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|76.0|0|4.0|0|0.0|0
0|2020-05-28|76.0|0|4.0|0|0.0|0
0|2020-05-29|76.0|0|4.0|0|0.0|0
0|2020-05-30|76.0|0|4.0|0|0.0|0
