|dates|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|27.0|0|3.0|0|0.0|0
0|2020-05-28|27.0|0|3.0|0|0.0|0
0|2020-05-29|27.0|0|3.0|0|0.0|0
0|2020-05-30|27.0|0|3.0|0|0.0|0
