|dates|Winnebago_Illinois_UnitedStates.JHU_ConfirmedCases.data|Winnebago_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Winnebago_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Winnebago_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Winnebago_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Winnebago_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1490.0|0|35.0|0|0.0|0
0|2020-05-18|1537.0|0|37.0|0|0.0|0
0|2020-05-19|1564.0|0|39.0|0|0.0|0
0|2020-05-20|1615.0|0|40.0|0|0.0|0
0|2020-05-21|1681.0|0|44.0|0|0.0|0
0|2020-05-22|1780.0|0|46.0|0|0.0|0
0|2020-05-23|1780.0|0|46.0|0|0.0|0
