|dates|Bacon_Georgia_UnitedStates.JHU_ConfirmedCases.data|Bacon_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Bacon_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Bacon_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Bacon_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Bacon_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|83.0|0|2.0|0|0.0|0
0|2020-05-28|83.0|0|2.0|0|0.0|0
0|2020-05-29|83.0|0|2.0|0|0.0|0
0|2020-05-30|83.0|0|2.0|0|0.0|0
