|dates|Lincoln_Missouri_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|106.0|0|1.0|0|0.0|0
0|2020-05-25|106.0|0|1.0|0|0.0|0
0|2020-05-26|106.0|0|1.0|0|0.0|0
