|dates|Fountain_Indiana_UnitedStates.JHU_ConfirmedCases.data|Fountain_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Fountain_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Fountain_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Fountain_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Fountain_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|18.0|0|2.0|0|0.0|0
0|2020-05-18|18.0|0|2.0|0|0.0|0
0|2020-05-19|18.0|0|2.0|0|0.0|0
0|2020-05-20|18.0|0|2.0|0|0.0|0
0|2020-05-21|19.0|0|2.0|0|0.0|0
0|2020-05-22|17.0|0|2.0|0|0.0|0
0|2020-05-23|17.0|0|2.0|0|0.0|0
