|dates|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|32.0|0|3.0|0|0.0|0
0|2020-05-18|32.0|0|3.0|0|0.0|0
0|2020-05-19|32.0|0|3.0|0|0.0|0
0|2020-05-20|35.0|0|3.0|0|0.0|0
0|2020-05-21|35.0|0|3.0|0|0.0|0
0|2020-05-22|35.0|0|4.0|0|0.0|0
0|2020-05-23|35.0|0|4.0|0|0.0|0
