|dates|Wilkes_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Wilkes_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Wilkes_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Wilkes_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Wilkes_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Wilkes_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|277.0|0|1.0|0|0.0|0
0|2020-05-15|287.0|0|1.0|0|0.0|0
0|2020-05-16|287.0|0|1.0|0|0.0|0
