|dates|Wyandot_Ohio_UnitedStates.JHU_ConfirmedCases.data|Wyandot_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Wyandot_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Wyandot_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Wyandot_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Wyandot_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|37.0|0|2.0|0|0.0|0
0|2020-05-28|37.0|0|2.0|0|0.0|0
0|2020-05-29|37.0|0|2.0|0|0.0|0
0|2020-05-30|37.0|0|2.0|0|0.0|0
