|dates|Warren_Missouri_UnitedStates.JHU_ConfirmedCases.data|Warren_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Warren_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Warren_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Warren_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Warren_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|28.0|0|0.0|0|0.0|0
0|2020-05-15|28.0|0|0.0|0|0.0|0
0|2020-05-16|28.0|0|0.0|0|0.0|0
