|dates|Brunswick_Virginia_UnitedStates.JHU_ConfirmedCases.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Brunswick_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Brunswick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|21.0|0|1.0|0|0.0|0
0|2020-05-28|21.0|0|1.0|0|0.0|0
0|2020-05-29|21.0|0|1.0|0|0.0|0
0|2020-05-30|21.0|0|1.0|0|0.0|0
