|dates|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|27.0|0|1.0|0|0.0|0
0|2020-05-25|27.0|0|1.0|0|0.0|0
0|2020-05-26|27.0|0|1.0|0|0.0|0
