|dates|Teller_Colorado_UnitedStates.JHU_ConfirmedCases.data|Teller_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Teller_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Teller_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Teller_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Teller_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|31.0|0|2.0|0|0.0|0
0|2020-05-15|31.0|0|2.0|0|0.0|0
0|2020-05-16|31.0|0|2.0|0|0.0|0
