|dates|Dickson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Dickson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Dickson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Dickson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Dickson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Dickson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|107.0|0|0.0|0|0.0|0
0|2020-05-28|107.0|0|0.0|0|0.0|0
0|2020-05-29|107.0|0|0.0|0|0.0|0
0|2020-05-30|107.0|0|0.0|0|0.0|0
