|dates|Park_Colorado_UnitedStates.JHU_ConfirmedCases.data|Park_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Park_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Park_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Park_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Park_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|23.0|0|0.0|0|0.0|0
0|2020-05-28|23.0|0|0.0|0|0.0|0
0|2020-05-29|23.0|0|0.0|0|0.0|0
0|2020-05-30|23.0|0|0.0|0|0.0|0
