|dates|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|83.0|0|2.0|0|0.0|0
0|2020-05-18|86.0|0|2.0|0|0.0|0
0|2020-05-19|86.0|0|2.0|0|0.0|0
0|2020-05-20|92.0|0|2.0|0|0.0|0
0|2020-05-21|92.0|0|2.0|0|0.0|0
0|2020-05-22|104.0|0|2.0|0|0.0|0
0|2020-05-23|104.0|0|2.0|0|0.0|0
