|dates|Coos_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Coos_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Coos_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Coos_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Coos_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Coos_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|2.0|0|0.0|0|0.0|0
0|2020-05-15|4.0|0|0.0|0|0.0|0
0|2020-05-16|4.0|0|0.0|0|0.0|0
