|dates|Polk_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Polk_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Polk_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|14.0|0|0.0|0|0.0|0
0|2020-05-25|14.0|0|0.0|0|0.0|0
0|2020-05-26|14.0|0|0.0|0|0.0|0
