|dates|Spokane_Washington_UnitedStates.JHU_ConfirmedCases.data|Spokane_Washington_UnitedStates.JHU_ConfirmedCases.missing|Spokane_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Spokane_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Spokane_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Spokane_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|477.0|0|31.0|0|0.0|0
0|2020-05-25|494.0|0|31.0|0|0.0|0
0|2020-05-26|494.0|0|31.0|0|0.0|0
