|dates|Sevier_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Sevier_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Sevier_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Sevier_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Sevier_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Sevier_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|28.0|0|1.0|0|0.0|0
0|2020-05-18|32.0|0|1.0|0|0.0|0
0|2020-05-19|46.0|0|1.0|0|0.0|0
0|2020-05-20|49.0|0|1.0|0|0.0|0
0|2020-05-21|50.0|0|1.0|0|0.0|0
0|2020-05-22|62.0|0|1.0|0|0.0|0
0|2020-05-23|62.0|0|1.0|0|0.0|0
