|dates|Cass_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Cass_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Cass_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Cass_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|11.0|0|3.0|0|0.0|0
0|2020-05-25|11.0|0|2.0|0|0.0|0
0|2020-05-26|11.0|0|2.0|0|0.0|0
