|dates|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|49.0|0|0.0|0|0.0|0
0|2020-05-18|49.0|0|0.0|0|0.0|0
0|2020-05-19|51.0|0|1.0|0|0.0|0
0|2020-05-20|51.0|0|1.0|0|0.0|0
0|2020-05-21|51.0|0|1.0|0|0.0|0
0|2020-05-22|58.0|0|1.0|0|0.0|0
0|2020-05-23|58.0|0|1.0|0|0.0|0
