|dates|Turner_Georgia_UnitedStates.JHU_ConfirmedCases.data|Turner_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Turner_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Turner_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Turner_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Turner_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|81.0|0|12.0|0|0.0|0
0|2020-05-18|84.0|0|12.0|0|0.0|0
0|2020-05-19|85.0|0|12.0|0|0.0|0
0|2020-05-20|85.0|0|12.0|0|0.0|0
0|2020-05-21|90.0|0|12.0|0|0.0|0
0|2020-05-22|92.0|0|12.0|0|0.0|0
0|2020-05-23|92.0|0|12.0|0|0.0|0
