|dates|Lincoln_Idaho_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|29.0|0|0.0|0|0.0|0
0|2020-05-15|29.0|0|0.0|0|0.0|0
0|2020-05-16|29.0|0|0.0|0|0.0|0
