|dates|Tift_Georgia_UnitedStates.JHU_ConfirmedCases.data|Tift_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Tift_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Tift_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Tift_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Tift_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|181.0|0|12.0|0|0.0|0
0|2020-05-18|185.0|0|14.0|0|0.0|0
0|2020-05-19|188.0|0|14.0|0|0.0|0
0|2020-05-20|194.0|0|14.0|0|0.0|0
0|2020-05-21|204.0|0|14.0|0|0.0|0
0|2020-05-22|212.0|0|14.0|0|0.0|0
0|2020-05-23|212.0|0|14.0|0|0.0|0
