|dates|Burke_Georgia_UnitedStates.JHU_ConfirmedCases.data|Burke_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Burke_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Burke_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Burke_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Burke_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|112.0|0|3.0|0|0.0|0
0|2020-05-18|116.0|0|4.0|0|0.0|0
0|2020-05-19|118.0|0|4.0|0|0.0|0
0|2020-05-20|122.0|0|4.0|0|0.0|0
0|2020-05-21|120.0|0|4.0|0|0.0|0
0|2020-05-22|120.0|0|4.0|0|0.0|0
0|2020-05-23|120.0|0|4.0|0|0.0|0
