|dates|Washington_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Washington_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Washington_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|6.0|0|0.0|0|0.0|0
0|2020-05-25|6.0|0|0.0|0|0.0|0
0|2020-05-26|6.0|0|0.0|0|0.0|0
