|dates|Anchorage_Alaska_UnitedStates.JHU_ConfirmedCases.data|Anchorage_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Anchorage_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Anchorage_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Anchorage_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Anchorage_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|199.0|0|4.0|0|0.0|0
0|2020-05-18|199.0|0|4.0|0|0.0|0
0|2020-05-19|205.0|0|4.0|0|0.0|0
0|2020-05-20|206.0|0|4.0|0|0.0|0
0|2020-05-21|206.0|0|4.0|0|0.0|0
0|2020-05-22|206.0|0|4.0|0|0.0|0
0|2020-05-23|206.0|0|4.0|0|0.0|0
