|dates|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedCases.data|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedCases.missing|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|239.0|0|4.0|0|0.0|0
0|2020-05-25|261.0|0|5.0|0|0.0|0
0|2020-05-26|261.0|0|5.0|0|0.0|0
