|dates|Monroe_Illinois_UnitedStates.JHU_ConfirmedCases.data|Monroe_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|87.0|0|11.0|0|0.0|0
0|2020-05-18|89.0|0|11.0|0|0.0|0
0|2020-05-19|90.0|0|11.0|0|0.0|0
0|2020-05-20|90.0|0|11.0|0|0.0|0
0|2020-05-21|90.0|0|11.0|0|0.0|0
0|2020-05-22|91.0|0|11.0|0|0.0|0
0|2020-05-23|91.0|0|11.0|0|0.0|0
