|dates|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|14.0|0|1.0|0|0.0|0
0|2020-05-25|14.0|0|1.0|0|0.0|0
0|2020-05-26|14.0|0|1.0|0|0.0|0
