|dates|Jefferson_Georgia_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|22.0|0|1.0|0|0.0|0
0|2020-05-15|22.0|0|1.0|0|0.0|0
0|2020-05-16|22.0|0|1.0|0|0.0|0
