|dates|Brantley_Georgia_UnitedStates.JHU_ConfirmedCases.data|Brantley_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Brantley_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Brantley_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Brantley_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Brantley_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|38.0|0|2.0|0|0.0|0
0|2020-05-18|39.0|0|2.0|0|0.0|0
0|2020-05-19|44.0|0|2.0|0|0.0|0
0|2020-05-20|46.0|0|2.0|0|0.0|0
0|2020-05-21|46.0|0|2.0|0|0.0|0
0|2020-05-22|48.0|0|2.0|0|0.0|0
0|2020-05-23|48.0|0|2.0|0|0.0|0
