|dates|Obion_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Obion_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Obion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Obion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Obion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Obion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|19.0|0|1.0|0|0.0|0
0|2020-05-18|19.0|0|1.0|0|0.0|0
0|2020-05-19|19.0|0|1.0|0|0.0|0
0|2020-05-20|19.0|0|1.0|0|0.0|0
0|2020-05-21|20.0|0|1.0|0|0.0|0
0|2020-05-22|21.0|0|1.0|0|0.0|0
0|2020-05-23|21.0|0|1.0|0|0.0|0
