|dates|Macon_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Macon_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Macon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Macon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Macon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Macon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|81.0|0|3.0|0|0.0|0
0|2020-05-18|90.0|0|3.0|0|0.0|0
0|2020-05-19|93.0|0|3.0|0|0.0|0
0|2020-05-20|93.0|0|3.0|0|0.0|0
0|2020-05-21|93.0|0|3.0|0|0.0|0
0|2020-05-22|97.0|0|3.0|0|0.0|0
0|2020-05-23|97.0|0|3.0|0|0.0|0
