|dates|Benton_Missouri_UnitedStates.JHU_ConfirmedCases.data|Benton_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Benton_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|9.0|0|0.0|0|0.0|0
0|2020-05-15|9.0|0|0.0|0|0.0|0
0|2020-05-16|9.0|0|0.0|0|0.0|0
