|dates|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|558.0|0|11.0|0|0.0|0
0|2020-05-25|561.0|0|11.0|0|0.0|0
0|2020-05-26|561.0|0|11.0|0|0.0|0
