|dates|Doniphan_Kansas_UnitedStates.JHU_ConfirmedCases.data|Doniphan_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Doniphan_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Doniphan_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Doniphan_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Doniphan_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|12.0|0|0.0|0|0.0|0
0|2020-05-25|12.0|0|0.0|0|0.0|0
0|2020-05-26|12.0|0|0.0|0|0.0|0
