|dates|Wayne_Georgia_UnitedStates.JHU_ConfirmedCases.data|Wayne_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|16.0|0|0.0|0|0.0|0
0|2020-05-25|17.0|0|0.0|0|0.0|0
0|2020-05-26|17.0|0|0.0|0|0.0|0
