|dates|DeKalb_Tennessee_UnitedStates.JHU_ConfirmedCases.data|DeKalb_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|DeKalb_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|DeKalb_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|DeKalb_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|DeKalb_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|37.0|0|0.0|0|0.0|0
0|2020-05-28|37.0|0|0.0|0|0.0|0
0|2020-05-29|37.0|0|0.0|0|0.0|0
0|2020-05-30|37.0|0|0.0|0|0.0|0
