|dates|Alpena_Michigan_UnitedStates.JHU_ConfirmedCases.data|Alpena_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Alpena_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Alpena_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Alpena_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Alpena_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|95.0|0|9.0|0|0.0|0
0|2020-05-25|95.0|0|9.0|0|0.0|0
0|2020-05-26|95.0|0|9.0|0|0.0|0
