|dates|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1383.0|0|4.0|0|0.0|0
0|2020-05-18|1383.0|0|4.0|0|0.0|0
0|2020-05-19|1384.0|0|4.0|0|0.0|0
0|2020-05-20|1384.0|0|4.0|0|0.0|0
0|2020-05-21|1385.0|0|4.0|0|0.0|0
0|2020-05-22|1390.0|0|4.0|0|0.0|0
0|2020-05-23|1390.0|0|4.0|0|0.0|0
