|dates|Hartley_Texas_UnitedStates.JHU_ConfirmedCases.data|Hartley_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hartley_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hartley_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hartley_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hartley_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|11.0|0|2.0|0|0.0|0
0|2020-05-28|11.0|0|2.0|0|0.0|0
0|2020-05-29|11.0|0|2.0|0|0.0|0
0|2020-05-30|11.0|0|2.0|0|0.0|0
