|dates|Cotton_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Cotton_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Cotton_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Cotton_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Cotton_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Cotton_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|5.0|0|2.0|0|0.0|0
0|2020-05-25|5.0|0|2.0|0|0.0|0
0|2020-05-26|5.0|0|2.0|0|0.0|0
