|dates|Broomfield_Colorado_UnitedStates.JHU_ConfirmedCases.data|Broomfield_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Broomfield_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Broomfield_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Broomfield_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Broomfield_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|211.0|0|22.0|0|0.0|0
0|2020-05-18|213.0|0|22.0|0|0.0|0
0|2020-05-19|214.0|0|24.0|0|0.0|0
0|2020-05-20|215.0|0|24.0|0|0.0|0
0|2020-05-21|218.0|0|24.0|0|0.0|0
0|2020-05-22|220.0|0|25.0|0|0.0|0
0|2020-05-23|220.0|0|25.0|0|0.0|0
